cid,g,a,d,i,cl
D,M,2,22,14,0
D,M,2,23,17,0
D,M,2,24,6,0
D,M,2,25,10,0
D,M,2,26,18,0
D,M,2,27,6,0
D,M,2,28,5,0
D,M,2,29,4,0
D,M,3,1,4,0
D,M,3,4,8,0
D,M,3,5,1,0
D,M,3,6,4,0
D,M,3,7,3,0
D,M,3,8,5,0
D,M,3,9,8,0
D,M,3,10,9,0
D,M,3,11,9,0
D,M,3,12,6,0
D,M,3,13,8,0
D,M,3,14,17,0
D,M,3,15,12,0
D,M,3,16,11,0
D,M,3,17,9,0
D,M,3,18,9,0
D,M,3,19,15,0
D,M,3,20,15,0
D,M,3,21,5,0
D,M,3,22,8,0
D,M,3,23,7,0
D,M,3,24,9,0
D,M,3,25,4,0
D,M,3,26,10,0
D,M,3,27,3,0
D,M,3,28,4,0
D,M,3,29,6,0
D,M,4,1,3,0
D,M,4,2,1,0
D,M,4,4,2,0
D,M,4,5,4,0
D,M,4,6,7,0
D,M,4,7,5,0
D,M,4,8,1,0
D,M,4,9,10,0
D,M,4,10,6,0
D,M,4,11,10,0
D,M,4,12,5,0
D,M,4,13,15,0
D,M,4,14,12,1
D,M,4,15,15,0
D,M,4,16,9,0
D,M,4,17,12,0
D,M,4,18,17,0
D,M,4,19,20,0
D,M,4,20,17,0
D,M,4,21,9,0
D,M,4,22,12,0
D,M,4,23,10,0
D,M,4,24,12,0
D,M,4,25,7,0
D,M,4,26,15,0
D,M,4,27,5,0
D,M,4,28,6,0
D,M,4,29,7,0
D,M,5,1,2,0
D,M,5,4,12,0
D,M,5,5,8,0
D,M,5,6,8,0
D,M,5,7,7,0
D,M,5,8,3,0
D,M,5,9,7,0
D,M,5,10,11,0
D,M,5,11,12,0
D,M,5,12,9,0
D,M,5,13,14,0
D,M,5,14,13,0
D,M,5,15,20,0
D,M,5,16,18,0
D,M,5,17,19,0
D,M,5,18,30,0
D,M,5,19,33,0
D,M,5,20,35,0
D,M,5,21,8,0
D,M,5,22,27,1
D,M,5,23,18,0
D,M,5,24,30,0
D,M,5,25,18,0
D,M,5,26,23,0
D,M,5,27,19,0
D,M,5,28,3,0
D,M,5,29,7,0
D,M,6,1,5,0
D,M,6,4,13,0
D,M,6,5,12,0
D,M,6,6,17,0
D,M,6,7,15,0
D,M,6,8,13,0
D,M,6,9,29,0
D,M,6,10,31,0
D,M,6,11,33,0
D,M,6,12,32,0
D,M,6,13,28,0
D,M,6,14,31,1
D,M,6,15,31,0
D,M,6,16,24,0
D,M,6,17,32,0
D,M,6,18,51,0
D,M,6,19,56,0
D,M,6,20,69,1
